,COVARIANCE_TYPE_APPROXIMATED,COVARIANCE_TYPE_DIAGONAL_KNOWN,COVARIANCE_TYPE_KNOWN,COVARIANCE_TYPE_UNKNOWN,altitude,header.frame_id,header.stamp.nanosec,header.stamp.sec,latitude,longitude,position_covariance.0,position_covariance.1,position_covariance.2,position_covariance.3,position_covariance.4,position_covariance.5,position_covariance.6,position_covariance.7,position_covariance.8,position_covariance_type,status.SERVICE_COMPASS,status.SERVICE_GALILEO,status.SERVICE_GLONASS,status.SERVICE_GPS,status.STATUS_FIX,status.STATUS_GBAS_FIX,status.STATUS_NO_FIX,status.STATUS_SBAS_FIX,status.service,status.status,ros_type,timestamp,topic,bag_file_reference
0,1,2,3,0,437.55899999999997,gps,833085170,1720428230,50.92568386166667,13.331718951666666,6.4e-05,0.0,0.0,0.0,6.4e-05,0.0,0.0,0.0,0.004096,1,4,8,2,1,0,2,-1,1,1,2,2,1720428230833585715,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
1,1,2,3,0,437.554,gps,834088973,1720428231,50.92568373333334,13.331722798333333,6.4e-05,0.0,0.0,0.0,6.4e-05,0.0,0.0,0.0,0.004096,1,4,8,2,1,0,2,-1,1,1,2,2,1720428231834533367,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
2,1,2,3,0,437.572,gps,834101197,1720428232,50.92568397833333,13.331726633333334,6.4e-05,0.0,0.0,0.0,6.4e-05,0.0,0.0,0.0,0.004096,1,4,8,2,1,0,2,-1,1,1,2,2,1720428232834538596,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
3,1,2,3,0,437.59999999999997,gps,836508751,1720428233,50.925685343333335,13.331733166666666,6.4e-05,0.0,0.0,0.0,6.4e-05,0.0,0.0,0.0,0.004096,1,4,8,2,1,0,2,-1,1,1,2,2,1720428233836967654,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
4,1,2,3,0,437.628,gps,834611229,1720428234,50.925686981666665,13.331736655,6.4e-05,0.0,0.0,0.0,6.4e-05,0.0,0.0,0.0,0.004096,1,4,8,2,1,0,2,-1,1,1,2,2,1720428234835073014,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
5,1,2,3,0,437.64599999999996,gps,844059263,1720428235,50.92568924166667,13.331739478333333,8.100000000000002e-05,0.0,0.0,0.0,8.100000000000002e-05,0.0,0.0,0.0,0.005184000000000001,1,4,8,2,1,0,2,-1,1,1,2,2,1720428235844476216,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
6,1,2,3,0,437.681,gps,835661201,1720428236,50.925691836666665,13.331741685,8.100000000000002e-05,0.0,0.0,0.0,8.100000000000002e-05,0.0,0.0,0.0,0.005184000000000001,1,4,8,2,1,0,2,-1,1,1,2,2,1720428236836076549,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
7,1,2,3,0,437.642,gps,832122549,1720428237,50.925695153333336,13.331743273333334,8.100000000000002e-05,0.0,0.0,0.0,8.100000000000002e-05,0.0,0.0,0.0,0.005184000000000001,1,4,8,2,1,0,2,-1,1,1,2,2,1720428237832554298,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
8,1,2,3,0,437.66299999999995,gps,835304784,1720428238,50.92569812833333,13.331743338333334,8.100000000000002e-05,0.0,0.0,0.0,0.00011664000000000001,0.0,0.0,0.0,0.005184000000000001,1,4,8,2,1,0,2,-1,1,1,2,2,1720428238835721664,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
9,1,2,3,0,437.657,gps,836372873,1720428239,50.925701071666666,13.331742285,8.100000000000002e-05,0.0,0.0,0.0,0.00015876,0.0,0.0,0.0,0.005184000000000001,1,4,8,2,1,0,2,-1,1,1,2,2,1720428239836788257,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
