,COVARIANCE_TYPE_APPROXIMATED,COVARIANCE_TYPE_DIAGONAL_KNOWN,COVARIANCE_TYPE_KNOWN,COVARIANCE_TYPE_UNKNOWN,altitude,header.frame_id,header.stamp.nanosec,header.stamp.sec,latitude,longitude,position_covariance.0,position_covariance.1,position_covariance.2,position_covariance.3,position_covariance.4,position_covariance.5,position_covariance.6,position_covariance.7,position_covariance.8,position_covariance_type,status.SERVICE_COMPASS,status.SERVICE_GALILEO,status.SERVICE_GLONASS,status.SERVICE_GPS,status.STATUS_FIX,status.STATUS_GBAS_FIX,status.STATUS_NO_FIX,status.STATUS_SBAS_FIX,status.service,status.status,ros_type,timestamp,topic,bag_file_reference
10,1,2,3,0,437.63,gps,834897657,1720428240,50.92570411333333,13.331740298333333,8.100000000000002e-05,0.0,0.0,0.0,0.00015876,0.0,0.0,0.0,0.005184000000000001,1,4,8,2,1,0,2,-1,1,1,2,2,1720428240835359306,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
11,1,2,3,0,437.63199999999995,gps,833559908,1720428241,50.92570453,13.331739811666667,8.100000000000002e-05,0.0,0.0,0.0,0.00018224999999999998,0.0,0.0,0.0,0.005184000000000001,1,4,8,2,1,0,2,-1,1,1,2,2,1720428241833988689,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
12,1,2,3,0,437.64,gps,831379087,1720428242,50.925704525,13.331739783333333,8.100000000000002e-05,0.0,0.0,0.0,0.00018224999999999998,0.0,0.0,0.0,0.005184000000000001,1,4,8,2,1,0,2,-1,1,1,2,2,1720428242831792539,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
13,1,2,3,0,437.637,gps,834945672,1720428243,50.92570490833333,13.331739236666667,0.0001,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.0064,1,4,8,2,1,0,2,-1,1,1,2,2,1720428243835386192,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
14,1,2,3,0,437.631,gps,842308755,1720428244,50.92570921666667,13.331730543333334,0.0001,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.0064,1,4,8,2,1,0,2,-1,1,1,2,2,1720428244843002831,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
15,1,2,3,0,437.65,gps,833806100,1720428245,50.925712505,13.33172032,0.0001,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.0064,1,4,8,2,1,0,2,-1,1,1,2,2,1720428245834180264,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
16,1,2,3,0,437.635,gps,832046650,1720428246,50.92571641333333,13.331712593333334,0.0001,0.0,0.0,0.0,0.00012099999999999999,0.0,0.0,0.0,0.0064,1,4,8,2,1,0,2,-1,1,1,2,2,1720428246832537938,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
17,1,2,3,0,437.566,gps,832023228,1720428247,50.925718898333336,13.331709781666667,8.100000000000002e-05,0.0,0.0,0.0,9.800999999999998e-05,0.0,0.0,0.0,0.005184000000000001,1,4,8,2,1,0,2,-1,1,1,2,2,1720428247832452727,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
18,1,2,3,0,437.57899999999995,gps,832034325,1720428248,50.92572078166667,13.331706373333333,8.100000000000002e-05,0.0,0.0,0.0,0.00013689,0.0,0.0,0.0,0.005184000000000001,1,4,8,2,1,0,2,-1,1,1,2,2,1720428248832455183,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
19,1,2,3,0,437.54999999999995,gps,834250885,1720428249,50.92572203666667,13.331703641666667,0.0001,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.0064,1,4,8,2,1,0,2,-1,1,1,2,2,1720428249834691591,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
20,1,2,3,0,437.55699999999996,gps,832020501,1720428250,50.925722105,13.331703256666668,0.0001,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.0064,1,4,8,2,1,0,2,-1,1,1,2,2,1720428250832440884,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
21,1,2,3,0,437.544,gps,830863905,1720428251,50.925722183333335,13.331703328333333,0.0001,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.0064,1,4,8,2,1,0,2,-1,1,1,2,2,1720428251831288826,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag2
